nazwa,jednostka,dokladnosc,powtorzenia,pomiary,,,,,,,,,
cz_d,cm,0.1,1,28.4,28.4,28.4,28.4,28.4,,,,,
cz_s,cm,0.1,1,4.9,4.9,4.9,4.9,4.9,,,,,
cz_1,cm,0.1,1,13.5,13.5,13.5,13.5,13.5,,,,,
cz_3,cm,0.1,1,11.5,11.5,11.5,11.5,11.5,,,,,
cz_5,cm,0.1,1,9.5,9.5,9.5,9.5,9.5,,,,,
cz_7,cm,0.1,1,7.5,7.5,7.5,7.5,7.5,,,,,
cz_9,cm,0.1,1,5.4,5.4,5.4,5.4,5.4,,,,,
b_d,cm,0.1,1,33,32.9,33,33,33,,,,,
b_s,cm,0.1,1,3.8,3.9,3.8,3.8,3.8,,,,,
b_1,cm,0.1,1,16,16,16,16,16,,,,,
b_3,cm,0.1,1,13,13,13,13,13,,,,,
b_5,cm,0.1,1,10,10,10,10,10,,,,,
b_7,cm,0.1,1,7,7,7,7,7,,,,,
b_9,cm,0.1,1,4,4,4,4,4,,,,,
Tcz1,s,0.01,10,8.72,8.75,8.62,8.84,8.85,8.63,8.6,8.57,8.64,8.62
Tcz3,s,0.01,10,8.34,8.31,8.29,8.41,8.31,8.31,8.4,8.34,8.39,8.33
Tcz5,s,0.01,10,8.19,8.12,8.25,8.16,8.13,8.25,8.21,8.22,8.24,8.22
Tcz7,s,0.01,10,8.15,8.13,8.15,8.16,8.14,8.12,8.16,8.12,8.14,8.13
Tcz9,s,0.01,10,8.58,8.46,8.37,8.56,8.56,8.53,8.49,8.5,8.53,8.5
Tb1,s,0.01,10,9.22,9.34,9.31,9.29,9.3,9.33,9.31,9.31,9.29,9.25
Tb3,s,0.01,10,8.88,8.79,8.84,8.87,8.81,8.85,8.84,8.79,8.89,8.83
Tb5,s,0.01,10,8.78,8.65,8.63,8.63,8.72,8.66,8.67,8.72,8.69,8.59
Tb7,s,0.01,10,8.81,8.75,8.88,8.84,8.87,8.83,8.85,8.78,8.8,8.76
Tb9,s,0.01,10,10.28,10.25,10.4,10.22,10.25,10.27,10.3,10.22,10.31,10.41