nazwa,jednostka,dokladnosc,powtorzenia,pomiary,,,,
r,mm,0.01,1,0.275,0.275,0.275,,
l,cm,0.1,1,82,81.9,82,82,81.8
m_1,g,1,1,570,571,570,,
m_2,g,1,1,566,566,566,,
m_3,g,1,1,929,930,929,,
m_4,g,1,1,571,571,571,,
m_5,g,1,1,570,570,570,,
m_6,g,1,1,574,573,573,,
m_7,g,1,1,572,572,572,,
m_8,g,1,1,569,569,569,,
m_9,g,1,1,571,571,571,,
m_10,g,1,1,554,555,554,,
m_11,g,1,1,570,570,570,,
m_12,g,1,1,572,570,572,,
f_1_1,Hz,0.000001,1,68,67.3,,,
f_1_2,Hz,0.000001,1,137,137.2,,,
f_1_3,Hz,0.000001,1,204,205,,,
f_1_4,Hz,0.000001,1,272,271,,,
f_2_1,Hz,0.000001,1,75,77,,,
f_2_2,Hz,0.000001,1,150,151,,,
f_2_3,Hz,0.000001,1,221,222,,,
f_2_4,Hz,0.000001,1,297,299,,,
f_3_1,Hz,0.000001,1,81,81,,,
f_3_2,Hz,0.000001,1,163,162,,,
f_3_3,Hz,0.000001,1,244,242,,,
f_3_4,Hz,0.000001,1,326,328,,,
f_4_1,Hz,0.000001,1,89,85,,,
f_4_2,Hz,0.000001,1,179,181,,,
f_4_3,Hz,0.000001,1,268,269,,,
f_4_4,Hz,0.000001,1,357,355,,,
f_5_1,Hz,0.000001,1,95,96,,,
f_5_2,Hz,0.000001,1,191,192,,,
f_5_3,Hz,0.000001,1,285,284,,,
f_5_4,Hz,0.000001,1,381,380,,,
f_6_1,Hz,0.000001,1,98,99,,,
f_6_2,Hz,0.000001,1,197,196,,,
f_6_3,Hz,0.000001,1,295,293,,,
f_6_4,Hz,0.000001,1,393,390,,,
f_7_1,Hz,0.000001,1,104,104,,,
f_7_2,Hz,0.000001,1,209,208,,,
f_7_3,Hz,0.000001,1,313,314,,,
f_7_4,Hz,0.000001,1,418,419,,,
f_8_1,Hz,0.000001,1,110,111,,,
f_8_2,Hz,0.000001,1,221,221,,,
f_8_3,Hz,0.000001,1,331,331,,,
f_8_4,Hz,0.000001,1,442,443,,,
f_9_1,Hz,0.000001,1,114,115,,,
f_9_2,Hz,0.000001,1,228,230,,,
f_9_3,Hz,0.000001,1,343,345,,,
f_9_4,Hz,0.000001,1,459,457,,,
f_10_1,Hz,0.000001,1,116,115,,,
f_10_2,Hz,0.000001,1,233,232,,,
f_10_3,Hz,0.000001,1,350,350,,,
f_10_4,Hz,0.000001,1,467,468,,,